SUBTYPE	CODE	DISPLAY	COMMENT
attempt	T14.91	Suicide attempt	
attempt	T14.91XA	Suicide attempt, initial encounter	
attempt	T14.91XD	Suicide attempt, subsequent encounter	
attempt	T14.91XS	Suicide attempt, sequela	
ideation	R45.851	Suicidal ideations	
self_harm	R45.88	Nonsuicidal self-harm after 2021-10-01	Oct 1, 2021 coding change
self_harm	Z91.5	Personal history of self harm after 2021-10-01	Oct 1, 2021 coding change
self_harm	Z91.51	Personal history of suicidal behavior after 2021-10-01	Oct 1, 2021 coding change
self_harm	Z91.52	Personal history of nonsuicidal self-harm after 2021-10-01	Oct 1, 2021 coding change
self_harm	T36.0X2	Poisoning by penicillins, intentional self-harm	
self_harm	T36.0X2A	Poisoning by penicillins, intentional self-harm, init encntr	
self_harm	T36.0X2D	Poisoning by penicillins, intentional self-harm, subs encntr	
self_harm	T36.0X2S	Poisoning by penicillins, intentional self-harm, sequela	
self_harm	T36.1X2	Poisoning by cephalospor/oth beta-lactm antibiot, self-harm	
self_harm	T36.1X2A	Poisn by cephalospor/oth beta-lactm antibiot, slf-hrm, init	
self_harm	T36.1X2D	Poisn by cephalospor/oth beta-lactm antibiot, slf-hrm, subs	
self_harm	T36.1X2S	Poisn by cephalospor/oth beta-lactm antibiot, slf-hrm, sqla	
self_harm	T36.2X2	Poisoning by chloramphenicol group, intentional self-harm	
self_harm	T36.2X2A	Poisoning by chloramphenicol group, self-harm, init	
self_harm	T36.2X2D	Poisoning by chloramphenicol group, self-harm, subs	
self_harm	T36.2X2S	Poisoning by chloramphenicol group, self-harm, sequela	
self_harm	T36.3X2	Poisoning by macrolides, intentional self-harm	
self_harm	T36.3X2A	Poisoning by macrolides, intentional self-harm, init encntr	
self_harm	T36.3X2D	Poisoning by macrolides, intentional self-harm, subs encntr	
self_harm	T36.3X2S	Poisoning by macrolides, intentional self-harm, sequela	
self_harm	T36.4X2	Poisoning by tetracyclines, intentional self-harm	
self_harm	T36.4X2A	Poisoning by tetracyclines, intentional self-harm, init	
self_harm	T36.4X2D	Poisoning by tetracyclines, intentional self-harm, subs	
self_harm	T36.4X2S	Poisoning by tetracyclines, intentional self-harm, sequela	
self_harm	T36.5X2	Poisoning by aminoglycosides, intentional self-harm	
self_harm	T36.5X2A	Poisoning by aminoglycosides, intentional self-harm, init	
self_harm	T36.5X2D	Poisoning by aminoglycosides, intentional self-harm, subs	
self_harm	T36.5X2S	Poisoning by aminoglycosides, intentional self-harm, sequela	
self_harm	T36.6X2	Poisoning by rifampicins, intentional self-harm	
self_harm	T36.6X2A	Poisoning by rifampicins, intentional self-harm, init encntr	
self_harm	T36.6X2D	Poisoning by rifampicins, intentional self-harm, subs encntr	
self_harm	T36.6X2S	Poisoning by rifampicins, intentional self-harm, sequela	
self_harm	T36.7X2	Poisoning by antifungal antibiotics, sys used, self-harm	
self_harm	T36.7X2A	Poisoning by antifungal antibiot, sys used, self-harm, init	
self_harm	T36.7X2D	Poisoning by antifungal antibiot, sys used, self-harm, subs	
self_harm	T36.7X2S	Poisoning by antifung antibiot, sys used, self-harm, sequela	
self_harm	T36.8X2	Poisoning by oth systemic antibiotics, intentional self-harm	
self_harm	T36.8X2A	Poisoning by oth systemic antibiotics, self-harm, init	
self_harm	T36.8X2D	Poisoning by oth systemic antibiotics, self-harm, subs	
self_harm	T36.8X2S	Poisoning by oth systemic antibiotics, self-harm, sequela	
self_harm	T37.0X2	Poisoning by sulfonamides, intentional self-harm	
self_harm	T37.0X2A	Poisoning by sulfonamides, intentional self-harm, init	
self_harm	T37.0X2D	Poisoning by sulfonamides, intentional self-harm, subs	
self_harm	T37.0X2S	Poisoning by sulfonamides, intentional self-harm, sequela	
self_harm	T37.1X2	Poisoning by antimycobacterial drugs, intentional self-harm	
self_harm	T37.1X2A	Poisoning by antimycobacterial drugs, self-harm, init	
self_harm	T37.1X2D	Poisoning by antimycobacterial drugs, self-harm, subs	
self_harm	T37.1X2S	Poisoning by antimycobacterial drugs, self-harm, sequela	
self_harm	T37.2X2	Poisn by antimalari/drugs acting on bld protzoa, self-harm	
self_harm	T37.2X2A	Poisn by antimalari/drugs act on bld protzoa, slf-hrm, init	
self_harm	T37.2X2D	Poisn by antimalari/drugs act on bld protzoa, slf-hrm, subs	
self_harm	T37.2X2S	Poisn by antimalari/drugs act on bld protzoa, slf-hrm, sqla	
self_harm	T37.3X2	Poisoning by oth antiprotozoal drugs, intentional self-harm	
self_harm	T37.3X2A	Poisoning by oth antiprotozoal drugs, self-harm, init	
self_harm	T37.3X2D	Poisoning by oth antiprotozoal drugs, self-harm, subs	
self_harm	T37.3X2S	Poisoning by oth antiprotozoal drugs, self-harm, sequela	
self_harm	T37.4X2	Poisoning by anthelminthics, intentional self-harm	
self_harm	T37.4X2A	Poisoning by anthelminthics, intentional self-harm, init	
self_harm	T37.4X2D	Poisoning by anthelminthics, intentional self-harm, subs	
self_harm	T37.4X2S	Poisoning by anthelminthics, intentional self-harm, sequela	
self_harm	T37.5X2	Poisoning by antiviral drugs, intentional self-harm	
self_harm	T37.5X2A	Poisoning by antiviral drugs, intentional self-harm, init	
self_harm	T37.5X2D	Poisoning by antiviral drugs, intentional self-harm, subs	
self_harm	T37.5X2S	Poisoning by antiviral drugs, intentional self-harm, sequela	
self_harm	T37.8X2	Poisoning by oth systemic anti-infect/parasit, self-harm	
self_harm	T37.8X2A	Poisn by oth systemic anti-infect/parasit, self-harm, init	
self_harm	T37.8X2D	Poisn by oth systemic anti-infect/parasit, self-harm, subs	
self_harm	T37.8X2S	Poisn by oth systemic anti-infect/parasit, slf-hrm, sequela	
self_harm	T37.92	Poisn by unsp systemic anti-infect and antiparastc, slf-hrm	
self_harm	T37.92XA	Poisn by unsp sys anti-infect and antiparastc, slf-hrm, init	
self_harm	T37.92XD	Poisn by unsp sys anti-infect and antiparastc, slf-hrm, subs	
self_harm	T37.92XS	Poisn by unsp sys anti-infect and antiparastc, slf-hrm, sqla	
self_harm	T38.0X2	Poisoning by glucocort/synth analog, intentional self-harm	
self_harm	T38.0X2A	Poisoning by glucocort/synth analog, self-harm, init	
self_harm	T38.0X2D	Poisoning by glucocort/synth analog, self-harm, subs	
self_harm	T38.0X2S	Poisoning by glucocort/synth analog, self-harm, sequela	
self_harm	T38.1X2	Poisoning by thyroid hormones and substitutes, self-harm	
self_harm	T38.1X2A	Poisoning by thyroid hormones and sub, self-harm, init	
self_harm	T38.1X2D	Poisoning by thyroid hormones and sub, self-harm, subs	
self_harm	T38.1X2S	Poisoning by thyroid hormones and sub, self-harm, sequela	
self_harm	T38.2X2	Poisoning by antithyroid drugs, intentional self-harm	
self_harm	T38.2X2A	Poisoning by antithyroid drugs, intentional self-harm, init	
self_harm	T38.2X2D	Poisoning by antithyroid drugs, intentional self-harm, subs	
self_harm	T38.2X2S	Poisoning by antithyroid drugs, self-harm, sequela	
self_harm	T38.3X2	Poisoning by insulin and oral hypoglycemic drugs, self-harm	
self_harm	T38.3X2A	Poisn by insulin and oral hypoglycemic drugs, slf-hrm, init	
self_harm	T38.3X2D	Poisn by insulin and oral hypoglycemic drugs, slf-hrm, subs	
self_harm	T38.3X2S	Poisn by insulin and oral hypoglycemic drugs, slf-hrm, sqla	
self_harm	T38.4X2	Poisoning by oral contraceptives, intentional self-harm	
self_harm	T38.4X2A	Poisoning by oral contraceptives, self-harm, init	
self_harm	T38.4X2D	Poisoning by oral contraceptives, self-harm, subs	
self_harm	T38.4X2S	Poisoning by oral contraceptives, self-harm, sequela	
self_harm	T38.5X2	Poisoning by oth estrogens and progestogens, self-harm	
self_harm	T38.5X2A	Poisoning by oth estrogens and progestogens, self-harm, init	
self_harm	T38.5X2D	Poisoning by oth estrogens and progestogens, self-harm, subs	
self_harm	T38.5X2S	Poisoning by oth estrogens and progstrn, self-harm, sequela	
self_harm	T38.6X2	Poisoning by antigonadtr/antiestr/antiandrg, NEC, self-harm	
self_harm	T38.6X2A	Poisn by antigonadtr/antiestr/antiandrg, NEC, slf-hrm, init	
self_harm	T38.6X2D	Poisn by antigonadtr/antiestr/antiandrg, NEC, slf-hrm, subs	
self_harm	T38.6X2S	Poisn by antigonadtr/antiestr/antiandrg, NEC, slf-hrm, sqla	
self_harm	T38.7X2	Poisoning by androgens and anabolic congeners, self-harm	
self_harm	T38.7X2A	Poisn by androgens and anabolic congeners, self-harm, init	
self_harm	T38.7X2D	Poisn by androgens and anabolic congeners, self-harm, subs	
self_harm	T38.7X2S	Poisn by androgens and anabolic congeners, slf-hrm, sequela	
self_harm	T38.802	Poisoning by unsp hormones and synthetic sub, self-harm	
self_harm	T38.802A	Poisn by unsp hormones and synthetic sub, self-harm, init	
self_harm	T38.802D	Poisn by unsp hormones and synthetic sub, self-harm, subs	
self_harm	T38.802S	Poisn by unsp hormones and synthetic sub, self-harm, sequela	
self_harm	T38.812	Poisoning by anterior pituitary hormones, self-harm	
self_harm	T38.812A	Poisoning by anterior pituitary hormones, self-harm, init	
self_harm	T38.812D	Poisoning by anterior pituitary hormones, self-harm, subs	
self_harm	T38.812S	Poisoning by anterior pituitary hormones, self-harm, sequela	
self_harm	T38.892	Poisoning by oth hormones and synthetic sub, self-harm	
self_harm	T38.892A	Poisoning by oth hormones and synthetic sub, self-harm, init	
self_harm	T38.892D	Poisoning by oth hormones and synthetic sub, self-harm, subs	
self_harm	T38.892S	Poisn by oth hormones and synthetic sub, self-harm, sequela	
self_harm	T38.902	Poisoning by unsp hormone antagonists, intentional self-harm	
self_harm	T38.902A	Poisoning by unsp hormone antagonists, self-harm, init	
self_harm	T38.902D	Poisoning by unsp hormone antagonists, self-harm, subs	
self_harm	T38.902S	Poisoning by unsp hormone antagonists, self-harm, sequela	
self_harm	T38.992	Poisoning by oth hormone antagonists, intentional self-harm	
self_harm	T38.992A	Poisoning by oth hormone antagonists, self-harm, init	
self_harm	T38.992D	Poisoning by oth hormone antagonists, self-harm, subs	
self_harm	T38.992S	Poisoning by oth hormone antagonists, self-harm, sequela	
self_harm	T39.012	Poisoning by aspirin, intentional self-harm	
self_harm	T39.012A	Poisoning by aspirin, intentional self-harm, init encntr	
self_harm	T39.012D	Poisoning by aspirin, intentional self-harm, subs encntr	
self_harm	T39.012S	Poisoning by aspirin, intentional self-harm, sequela	
self_harm	T39.092	Poisoning by salicylates, intentional self-harm	
self_harm	T39.092A	Poisoning by salicylates, intentional self-harm, init encntr	
self_harm	T39.092D	Poisoning by salicylates, intentional self-harm, subs encntr	
self_harm	T39.092S	Poisoning by salicylates, intentional self-harm, sequela	
self_harm	T39.1X2	Poisoning by 4-Aminophenol derivatives, self-harm	
self_harm	T39.1X2A	Poisoning by 4-Aminophenol derivatives, self-harm, init	
self_harm	T39.1X2D	Poisoning by 4-Aminophenol derivatives, self-harm, subs	
self_harm	T39.1X2S	Poisoning by 4-Aminophenol derivatives, self-harm, sequela	
self_harm	T39.2X2	Poisoning by pyrazolone derivatives, intentional self-harm	
self_harm	T39.2X2A	Poisoning by pyrazolone derivatives, self-harm, init	
self_harm	T39.2X2D	Poisoning by pyrazolone derivatives, self-harm, subs	
self_harm	T39.2X2S	Poisoning by pyrazolone derivatives, self-harm, sequela	
self_harm	T39.312	Poisoning by propionic acid derivatives, self-harm	
self_harm	T39.312A	Poisoning by propionic acid derivatives, self-harm, init	
self_harm	T39.312D	Poisoning by propionic acid derivatives, self-harm, subs	
self_harm	T39.312S	Poisoning by propionic acid derivatives, self-harm, sequela	
self_harm	T39.392	Poisoning by oth nonsteroidal anti-inflam drugs, self-harm	
self_harm	T39.392A	Poisn by oth nonsteroid anti-inflam drugs, self-harm, init	
self_harm	T39.392D	Poisn by oth nonsteroid anti-inflam drugs, self-harm, subs	
self_harm	T39.392S	Poisn by oth nonsteroid anti-inflam drugs, slf-hrm, sequela	
self_harm	T39.4X2	Poisoning by antirheumatics, NEC, intentional self-harm	
self_harm	T39.4X2A	Poisoning by antirheumatics, NEC, self-harm, init	
self_harm	T39.4X2D	Poisoning by antirheumatics, NEC, self-harm, subs	
self_harm	T39.4X2S	Poisoning by antirheumatics, NEC, self-harm, sequela	
self_harm	T39.8X2	Poisoning by oth nonopioid analges/antipyret, NEC, self-harm	
self_harm	T39.8X2A	Poisn by oth nonopio analges/antipyret, NEC, self-harm, init	
self_harm	T39.8X2D	Poisn by oth nonopio analges/antipyret, NEC, self-harm, subs	
self_harm	T39.8X2S	Poisn by oth nonopio analges/antipyret, NEC, slf-hrm, sqla	
self_harm	T39.92XA	Poisn by unsp nonopi analgs/antipyr/antirheu, slf-hrm, init	
self_harm	T39.92XD	Poisn by unsp nonopi analgs/antipyr/antirheu, slf-hrm, subs	
self_harm	T39.92XS	Poisn by unsp nonopi analgs/antipyr/antirheu, slf-hrm, sqla	
